teamMarket,Pos,HEIGHT,CLASS YR,jerseyNum,fullName,GS,GP,MP,ORB,TOV,STL,DRB,3PAr,3P%,extra_poss,extra_poss_per_40,3PAr %ile,3P% %ile,extra_poss_perc,extra_poss_per_40_perc,status,OBPR,OBPR_perct,DBPR,DBPR_perct,BPR,BPR_perct,Position,Role
Texas A&M,G,77,Senior,6,Ali Dibba,1,31,473.61,25,12,34,59,0.27097,0.40476,106,8.952513672,0.342,0.869,0.805,0.875,,1.6950236,0.728,2.1675148,0.924,3.8625384,0.862,2.868220282,4.309732531
Vanderbilt,G,77,Junior,0,Mike James,0,21,233.41,1,6,1,42,0.70588,0.33333,38,6.512146009,0.866,0.567,0.432,0.684,,,,,,,,#N/A,#N/A
Vanderbilt,G,74,Senior,1,Frankie Collins,0,9,187.87,5,20,22,33,0.29091,0.25,40,8.516527386,0.366,0.279,0.448,0.849,,,,,,,,#N/A,#N/A
Alabama,G,77,Senior,95,Houston Mallette,12,31,721.44,52,13,21,87,0.88623,0.35135,147,8.150365935,0.956,0.674,0.917,0.824,,3.4171701,0.919,0.83850282,0.701,4.25567292,0.888,3.112778283,4.316538857
LSU,G,78,Senior,4,Rashad King,9,31,578.68,14,30,22,53,0.54545,0.29762,59,4.078247045,0.707,0.428,0.574,0.385,,0.20244299,0.45,1.2591381,0.801,1.46158109,0.636,2.278223837,3.818229664
Kentucky,G,77,Senior,1,Denzel Aberdeen,30,31,919.25,21,38,20,58,0.44728,0.35714,61,2.654337775,0.571,0.699,0.586,0.205,,3.9467836,0.946,1.2493186,0.797,5.1961022,0.937,1.652808642,2.404502471
Kentucky,G,76,Senior,00,Otega Oweh,31,31,987.24,27,61,56,114,0.26895,0.35455,136,5.510311576,0.34,0.689,0.896,0.566,,3.6560595,0.933,3.1759029,0.977,6.8319624,0.97,2.128435118,2.262948549
Vanderbilt,G,77,Senior,25,Miles Keeffe,0,12,19.9,1,2,2,2,0.375,0.33333,3,6.030150754,0.473,0.567,0.139,0.632,,,,,,,,#N/A,#N/A
Texas A&M,G,75,Junior,8,Noah Shelby,0,9,21.98,2,0,1,0,1,0.2,3,5.459508644,0.965,0.191,0.139,0.56,,,,,,,,#N/A,#N/A
South Carolina,G,81,Senior,55,Mike Sharavjamts,31,31,924.75,39,43,21,131,0.33755,0.325,148,6.401730197,0.427,0.54,0.921,0.672,,2.41674,0.828,1.8094654,0.887,4.2262054,0.886,3.931366293,2.430966158
Texas,G,75,Senior,2,Chendall Weaver,2,30,642.86,40,18,24,84,0.29078,0.2439,130,8.088852938,0.366,0.273,0.879,0.82,,3.4330594,0.919,0.10404016,0.505,3.53709956,0.842,2.992426779,4.071197106
Ole Miss,G,79,Senior,2,AJ Storr,15,31,816.68,23,44,27,77,0.28191,0.35849,83,4.065239751,0.355,0.709,0.705,0.383,,1.7273548,0.733,-0.39599655,0.353,1.33135825,0.621,2.38176282,2.071776338
Mississippi St.,G,74,Senior,10,Jayden Epps,22,29,784.9,5,55,13,67,0.53333,0.30978,30,1.528857179,0.691,0.478,0.379,0.114,,1.8233345,0.747,-0.001024203,0.476,1.822310298,0.678,1.99768141,2.14425281
Texas,G,73,Senior,0,Jordan Pope,29,30,847.73,17,23,12,47,0.60586,0.36559,53,2.500796244,0.779,0.738,0.539,0.189,,4.4917217,0.967,0.35350662,0.576,4.84522832,0.92,2.021172498,3.094260366
Mississippi St.,G,78,Senior,5,Shawn Jones Jr.,27,30,775.04,37,37,40,83,0.4726,0.28986,123,6.348059455,0.604,0.405,0.862,0.666,,0.25656992,0.463,2.0191275,0.911,2.27569742,0.724,2.592165085,4.030203149
Texas A&M,G,72,Senior,5,Jacari Lane,28,30,613.99,24,33,18,30,0.54194,0.32143,39,2.540757993,0.703,0.525,0.44,0.193,,3.530487,0.926,1.0411983,0.751,4.5716853,0.907,1.551874054,2.594526153
Tennessee,G,73,Senior,0,Ja'Kobi Gillespie,31,31,1063.06,17,71,64,72,0.54818,0.33203,82,3.085432619,0.71,0.567,0.701,0.256,,7.1883783,0.997,2.9760687,0.97,10.164447,0.998,1,1.464569863
